,Redshift,Bin_Y,Bin_Edges
0,1.3023784599059653,1.5147704122284595e-05,-1.0637395634327955
1,0.0,0.0001817724494674161,-1.0211026526300575
2,0.0,0.0011815209215381983,-0.9784657418273197
3,0.0,0.004445851159890551,-0.9358288310245817
4,0.0,0.010239847986664387,-0.8931919202218439
5,0.0,0.019851066252254013,-0.8505550094191059
6,0.0,0.030219669723957846,-0.807918098616368
7,0.0,0.043966211214931154,-0.7652811878136301
8,0.0,0.05835653013110155,-0.7226442770108922
9,0.0,0.07623839484745856,-0.6800073662081543
10,0.0,0.09597585331879545,-0.6373704554054164
11,0.0,0.12067418489018022,-0.5947335446026785
12,0.0,0.14442578495392286,-0.5520966337999405
13,0.0,0.17169922622609635,-0.5094597229972025
14,0.0,0.20339579710197692,-0.46682281219446464
15,0.0,0.234637936854189,-0.42418590139172674
16,0.0,0.26964428108078875,-0.38154899058898883
17,0.0,0.3141633834961833,-0.33891207978625093
18,0.0,0.3634312911539141,-0.296275168983513
19,0.0,0.4164634032860326,-0.2536382581807751
20,0.0,0.4798186757774868,-0.21100134737803722
21,0.0,0.5569962282805283,-0.1683644365752992
22,0.0,0.6501546086325788,-0.1257275257725613
23,0.0,0.7570216612152949,-0.0830906149698234
24,0.0,0.8684784681470694,-0.04045370416708538
25,0.0,0.8988799103204901,0.0021832066356524127
26,0.0,0.833388811547797,0.04482011743839043
27,0.0,0.7680491898163181,0.08745702824112822
28,0.0,0.7136992274255646,0.13009393904386624
29,0.0,0.6852215436756659,0.17273084984660403
30,0.0,0.676360136764133,0.21536776064934204
31,0.0,0.6903035984086924,0.25800467145207984
32,0.0,0.7353377227642445,0.30064158225481785
33,0.0,0.7997987776566308,0.34327849305755587
34,0.0,0.8834822690801878,0.38591540386029366
35,0.0,0.9745805616716124,0.4285523146630317
36,0.0,1.0387007932212382,0.47118922546576947
37,0.0,1.0709654030017097,0.5138261362685075
38,0.0,1.0770775016150462,0.5564630470712453
39,0.0,1.0563857377840107,0.5990999578739833
40,0.0,1.0335429999676002,0.6417368686767211
41,0.0,1.0053304010398452,0.6843737794794591
42,0.0,0.9102103930039638,0.7270106902821971
43,0.0,0.7403970559410875,0.7696476010849349
44,0.0,0.5092733864432718,0.8122845118876729
45,0.0,0.2948046176279028,0.8549214226904107
46,0.0,0.1305353402737875,0.8975583334931487
47,0.0,0.03280992712886843,0.9401952442958867
48,0.0,0.0028401945229283914,0.9828321550986248
49,0.0,0.00020449400565084202,1.0254690659013623
50,0.0,0.0,1.0681059767041003
