Halo Number,eps_pt5_z,eps_pt5_gyr,eps_pt3_z,eps_pt3_gyr
1,0.0337243718735154,0.4751588402175226,1.7435705743308647,10.073660667354412
2,0.7574413726158526,6.812480574243423,1.6666695561144653,9.915878310578798
3,0.6446418406845371,6.166981576776402,0.8514709006246495,7.288917289753489
4,0.009521666967944764,0.13652318785563844,0.009521666967944764,0.13652318785563844
5,0.3999269646135635,4.416904184146455,0.524565820433923,5.375386357604981
6,0.8514709006246495,7.288917289753489,1.6042345220731056,9.779719233620602
7,0.009521666967944764,0.13652318785563844,0.3478538418581776,3.9683658375404005
8,0.32882972420595435,3.796673774186108,1.5312390291576135,9.61056603701116
9,0.524565820433923,5.375386357604981,1.1141505637653806,8.382521288266775
10,1.2062580807810006,8.698987743841677,2.0020281392528516,10.534902048047007
11,0.7574413726158526,6.812480574243423,1.2484726142451428,8.834380917562417
12,0.31007412012783386,3.623105666088635,0.7574413726158526,6.812480574243423
13,0.5985432881875667,5.876859358118322,1.1546027123602154,8.525215563713804
14,0.3478538418581776,3.9683658375404005,0.4609177941806475,4.905033161201069
15,0.2733533465784399,3.2704198571212126,0.4609177941806475,4.905033161201069
16,1.074457894547674,8.236514713403109,2.3161107439568918,10.982071769347353
17,2.1032696525957713,10.690919278856487,4.176834914726472,12.359039687636683
18,2.207925472383703,10.839884282366786,2.8957850057274284,11.58487408422183
19,0.009521666967944764,0.13652318785563844,0.5759808451078874,5.7287672912066805
20,0.009521666967944764,0.13652318785563844,0.19728418237600986,2.4816124120819296
21,0.6214287452425136,6.022931550724793,2.0020281392528516,10.534902048047007
22,1.2484726142451428,8.834380917562417,1.6042345220731056,9.779719233620602
23,1.1141505637653806,8.382521288266775,1.7435705743308647,10.073660667354412
24,0.8167099790118506,7.118777956096149,1.5312390291576135,9.61056603701116
25,1.3023784599059653,8.999165039856967,1.6042345220731056,9.779719233620602
26,0.7574413726158526,6.812480574243423,0.9505313515850327,7.7386664110649575
27,0.7001063537185233,6.4952311284537645,0.8868969375752482,7.455525964763835
28,0.009521666967944764,0.13652318785563844,0.38016786726023866,4.250301199877503
29,1.4719748452657977,9.46468419295872,2.0020281392528516,10.534902048047007
30,0.023974428382762536,0.340168399148969,0.38016786726023866,4.250301199877503
