,Redshift,Bin_Y,Bin_Edges
0,1.2062580807810006,5.087840741864883e-07,-11.749995733966362
1,0.0,0.0,-11.41774484674835
2,0.0,0.0,-11.08549395953034
3,0.0,0.0,-10.75324307231233
4,0.0,0.0,-10.420992185094319
5,0.0,0.0,-10.088741297876307
6,0.0,0.0,-9.756490410658296
7,0.0,0.0,-9.424239523440285
8,0.0,0.0,-9.091988636222275
9,0.0,0.0,-8.759737749004264
10,0.0,0.0,-8.427486861786253
11,0.0,0.0,-8.095235974568242
12,0.0,0.0,-7.762985087350231
13,0.0,0.0,-7.43073420013222
14,0.0,0.0,-7.098483312914209
15,0.0,0.0,-6.766232425696199
16,0.0,0.0,-6.4339815384781875
17,0.0,0.0,-6.101730651260176
18,0.0,0.0,-5.769479764042166
19,0.0,0.0,-5.437228876824155
20,0.0,0.0,-5.1049779896061445
21,0.0,0.0,-4.772727102388133
22,0.0,0.0,-4.440476215170122
23,0.0,0.0,-4.108225327952112
24,0.0,0.0,-3.7759744407341005
25,0.0,0.0,-3.44372355351609
26,0.0,0.0,-3.111472666298079
27,0.0,0.0,-2.7792217790800677
28,0.0,0.0,-2.4469708918620565
29,0.0,0.0,-2.1147200046440453
30,0.0,0.0,-1.7824691174260359
31,0.0,0.0,-1.4502182302080247
32,0.0,0.001997486275256153,-1.1179673429900134
33,0.0,0.0705505436470694,-0.7857164557720022
34,0.0,0.542029551946059,-0.453465568553991
35,0.0,1.6549713101615866,-0.12121468133598157
36,0.0,0.6551933057266147,0.21103620588202965
37,0.0,0.08418086899452543,0.5432870931000409
38,0.0,0.0008496694038914354,0.8755379803180521
39,0.0,0.0,1.2077888675360633
40,0.0,0.0,1.5400397547540727
41,0.0,0.0,1.872290641972084
42,0.0,0.0,2.204541529190095
43,0.0,0.0,2.5367924164081064
44,0.0,0.0,2.8690433036261176
45,0.0,0.0,3.201294190844129
46,0.0,0.0,3.5335450780621382
47,0.0,0.0,3.8657959652801495
48,0.0,0.0,4.198046852498161
49,0.0,5.087840741864883e-07,4.530297739716172
50,0.0,0.0,4.862548626934183
